2009,8.99292,476.8121,11.0463,45.517619999999994,0.0,,418.82955000000004,50.795177456000005,174.990111732,0.0,703.5694981580001,14.8128,413.2758,32.5648,215.33859999999999,0.0,14.8128,413.2758,32.5648,215.33120000000002,0.0,9.7849041004,376.95262504,35.123641502,159.705046114,0.0016689359999999998,2820.7826,9.7849041004,376.95262504,35.123641502,159.705046114,0.0016689359999999998,2820.7826,9.7849041004,376.95262504,35.123641502,159.705046114,0.0016689359999999998,2820.7826,9.7849041004,376.95262504,35.123641502,159.705046114,0.0016689359999999998,2820.7826,9.7849041004,376.95262504,35.123641502,159.705046114,0.0016689359999999998,2820.7826,0.0,0.0,0.0,440.76735608,34.572983832000006,168.63190935999998,0.007557612,1839.0996197999998,9.13132,489.3853,17.23094,65.13282,0.0,9.13924,493.18346,12.06222,50.71914,0.0,9.4338700212,349.90115988,15.523666579,80.23728482,0.0,9.4338700212,349.90115988,15.523666579,80.23728482,0.0,9.4338700212,349.90115988,15.523666579,80.23728482,0.0,418.82955000000004,33.0399423258,168.810992202,0.0,728.385914542,14.811600000000002,413.2758,32.5648,215.32659999999998,0.0,183.84689984,14.8128,413.2758,32.5648,215.0078,0.0,183.81885484,10.8734,402.02,31.690600000000003,152.258,0.0,10.785400000000001,405.78,31.690600000000003,152.258,0.0,10.785400000000001,403.14,31.690600000000003,152.258,0.0,448.4817815199999,35.598528776,172.51939999999996,0.0762613024,448.4817815199999,35.598528776,172.51939999999996,0.0762613024,9.127239999999999,466.6729,102.10876,0.0,418.82955000000004,33.0399423258,168.810992202,0.0,764.1591389914,0.0,0.0,0.0,0.0,0.0,221.20176363999997,9.881164548,373.45199585999995,32.838509275,158.71482998800002,5.29e-06,369.828,149.59368,0.0,355.667566,34.831932248,169.99647736,0.011971895,129.79696402,355.667566,34.831932248,169.99647736,0.011971895,129.79696402
2010,9.042,484.4024,13.4855,48.0639,0.0,,422.7626875,56.67338721,200.2951299,0.0,887.0557150000001,16.075,415.13,39.781,255.25599999999997,0.0,16.075,415.13,39.781,255.247,0.0,10.0692041,377.6621563,42.68700781,184.9626094,0.00207832,2794.23775,10.0692041,377.6621563,42.68700781,184.9626094,0.00207832,2794.23775,10.0692041,377.6621563,42.68700781,184.9626094,0.00207832,2794.23775,10.0692041,377.6621563,42.68700781,184.9626094,0.00207832,2794.23775,10.0692041,377.6621563,42.68700781,184.9626094,0.00207832,2794.23775,0.0,0.0,0.0,454.99961260000003,42.02947479,195.71888669999998,0.009215622,1921.3261329999998,9.215,500.1189,21.2163,72.5829,0.0,9.2249,504.8666,14.7554,54.5658,0.0,9.716106156,349.60529060000005,18.78684415,92.87810316,0.0,9.716106156,349.60529060000005,18.78684415,92.87810316,0.0,9.716106156,349.60529060000005,18.78684415,92.87810316,0.0,422.7626875,40.07435156,196.3347,0.0,896.6272921,16.074,415.13,39.781,255.24099999999999,0.0,185.0934565,16.075,415.13,39.781,254.922,0.0,184.9606565,11.66,402.3,39.35,180.4,0.0,11.55,407.0,39.35,180.4,0.0,11.55,403.7,39.35,180.4,0.0,464.6426768999999,43.31091097,199.421,0.071539471,464.6426768999999,43.31091097,199.421,0.071539471,9.2099,471.7284,118.5761,0.0,422.7626875,40.07435156,196.3347,0.0,952.7421197000001,0.0,0.0,0.0,0.0,0.0,236.50410719999996,10.18392944,374.17132569999995,39.92296982,183.73365780000003,5.23e-06,369.8812,179.338,0.0,355.84674,42.35316031,197.4195967,0.014724513,131.3433594,355.84674,42.35316031,197.4195967,0.014724513,131.3433594
2011,9.1731,498.04854,15.0238,52.1594,0.0,,428.01823126000005,90.83639102800001,247.56708518,0.0081170464,912.9065732,15.939599999999999,422.7264,44.5005,304.4201,0.0,15.939599999999999,422.71909999999997,44.494299999999996,304.377,0.0,11.087342186,376.6694063,73.420643748,220.87790628,0.04269544820000001,2745.0546,11.087342186,376.6694063,73.420643748,220.87790628,0.04269544820000001,2745.0546,11.087342186,376.6694063,73.420643748,220.87790628,0.04269544820000001,2745.0546,11.087342186,376.6694063,73.420643748,220.87790628,0.04269544820000001,2745.0546,11.087342186,376.6694063,73.420643748,220.87790628,0.04269544820000001,2745.0546,0.0,0.0,0.0,476.83338866,73.05627429200001,274.98338186,6.3438604496,1678.3257449599998,9.39166,508.38417,30.364510000000003,107.26639999999999,0.0,9.41347,518.36893,18.62004,70.11181,0.0,15.0138492514,346.18355941000004,37.592979545,135.986764174,4.539518072,14.9287175764,363.66182680000003,36.142131324999994,121.207778214,5.8840560019999995,14.991358510400001,364.25137324,36.303111515,121.89078044399999,5.986871450000001,425.69286875,64.77007509399999,225.68714641,4.830012847,919.08887679,15.938600000000001,424.6693,64.3889,301.14209999999997,0.0,293.16562825,15.939599999999999,424.6753,61.721999999999994,294.7967,0.0,265.41435375,12.233,409.71000000000004,78.64500000000001,254.42000000000002,0.00598,11.936,416.8,78.005,249.53000000000003,0.0308,11.826,411.52,62.365,213.83,0.016800000000000002,487.8137052499999,58.355572323000004,243.74542602999998,10.333810443900001,487.74467931999993,59.703696983,243.75857254,8.7613126749,9.38284,475.03418,136.38848,0.0,428.01823126000005,77.523240628,243.39874126,0.0,989.62234076,1.096132755,42.531532289999994,24.829790260000003,73.60989237000001,0.0,270.54071657,10.581050108,367.57321168,75.44428101599999,231.15601194000004,0.0013965516,369.44496,229.5776,0.0,369.04309798,81.44909434800002,248.65293416,0.0123684984,151.47967536,369.04309798,81.44909434800002,248.65293416,0.0123684984,151.47967536
2012,9.3042,511.69468,16.5621,56.25489999999999,0.0,,433.27377502,124.99939484600002,294.83904046,0.0162340928,938.7574314000001,15.8042,430.3228,49.22,353.58419999999995,0.0,15.8042,430.3082,49.2076,353.507,0.0,12.105480272000001,375.6766563,104.154279686,256.79320315999996,0.0833125764,2695.87145,12.105480272000001,375.6766563,104.154279686,256.79320315999996,0.0833125764,2695.87145,12.105480272000001,375.6766563,104.154279686,256.79320315999996,0.0833125764,2695.87145,12.105480272000001,375.6766563,104.154279686,256.79320315999996,0.0833125764,2695.87145,12.105480272000001,375.6766563,104.154279686,256.79320315999996,0.0833125764,2695.87145,0.0,0.0,0.0,498.66716472,104.08307379400001,354.24787702,12.6785052772,1435.3253569199999,9.56832,516.64944,39.51272,141.94989999999999,0.0,9.60204,531.87126,22.48468,85.65782,0.0,20.311592346799998,342.76182822000004,56.39911494,179.095425188,9.079036144,20.1413289968,377.71836300000007,53.497418499999995,149.537453268,11.768112003999999,20.2666108648,378.89745588000005,53.819378879999995,150.90345772799998,11.973742900000001,428.62305000000003,89.46579862799999,255.03959282,9.660025694,941.55046148,15.803200000000002,434.2086,88.99680000000001,347.04319999999996,0.0,401.2378,15.8042,434.2206,83.66299999999998,334.6714,0.0,345.868051,12.806000000000001,417.12,117.94,328.44000000000005,0.01196,12.322000000000001,426.6,116.66,318.66,0.0616,12.102,419.34,85.38,247.26000000000002,0.033600000000000005,510.9847335999999,73.400233676,288.06985205999996,20.596081416800004,510.84668173999995,76.09648299599999,288.09614508,17.4510858788,9.55578,478.33996,154.20086,0.0,433.27377502,114.972129696,290.46278252,0.0,1026.50256182,2.19226551,85.06306457999999,49.659580520000006,147.21978474000002,0.0,304.57732594,10.978170776,360.97509766,110.96559221199999,278.57836608,0.0027878732000000002,369.00872,279.8172,0.0,382.23945596,120.54502838600001,299.88627162,0.0100124838,171.61599132,382.23945596,120.54502838600001,299.88627162,0.0100124838,171.61599132
2013,9.4353,525.34082,18.1004,60.35039999999999,0.0,,438.52931878000004,159.16239866400002,342.11099574,0.024351139199999997,964.6082896,15.6688,437.9192,53.939499999999995,402.7483,0.0,15.6688,437.8973,53.9209,402.63700000000006,0.0,13.123618358,374.6839063,134.88791562400002,292.70850004,0.12392970460000001,2646.6883,13.123618358,374.6839063,134.88791562400002,292.70850004,0.12392970460000001,2646.6883,13.123618358,374.6839063,134.88791562400002,292.70850004,0.12392970460000001,2646.6883,13.123618358,374.6839063,134.88791562400002,292.70850004,0.12392970460000001,2646.6883,13.123618358,374.6839063,134.88791562400002,292.70850004,0.12392970460000001,2646.6883,0.0,0.0,0.0,520.50094078,135.10987329600002,433.51237217999994,19.013150104799998,1192.32496888,9.74498,524.91471,48.66093000000001,176.6334,0.0,9.79061,545.37359,26.34932,101.20383000000001,0.0,25.6093354422,339.34009703000004,75.20525033499999,222.204086202,13.618554216,25.3539404172,391.77489920000005,70.85270567499998,177.867128322,17.652168005999997,25.541863219200003,393.54353852,71.33564624499999,179.91613501199998,17.96061435,431.55323125,114.161522162,284.39203923,14.490038541,964.0120461700001,15.667800000000002,443.7479,113.60470000000001,392.9443,0.0,509.30997175000005,15.6688,443.7659,105.60399999999998,374.5461,0.0,426.3217482499999,13.379000000000001,424.53,157.235,402.46000000000004,0.01794,12.708,436.4,155.31499999999997,387.7900000000001,0.09240000000000001,12.378,427.15999999999997,108.39500000000001,280.69000000000005,0.05040000000000001,534.1557619499999,88.44489502900001,332.39427808999994,30.858352389700006,533.94868416,92.489269009,332.43371762000004,26.1408590827,9.72872,481.64574,172.01324,0.0,438.52931878000004,152.421018764,337.52682378,0.0,1063.3827828800001,3.2883982649999997,127.59459686999998,74.48937078,220.82967711000003,0.0,338.61393531,11.375291444,354.37698364,146.486903408,326.00072022000006,0.0041791948,368.57248,330.0568,0.0,395.43581394,159.64096242400004,351.11960908,0.007656469199999999,191.75230728,395.43581394,159.64096242400004,351.11960908,0.007656469199999999,191.75230728
2014,9.5664,538.98696,19.6387,64.4459,0.0,,443.78486254,193.32540248200002,389.38295102,0.0324681856,990.4591478000001,15.533399999999999,445.5156,58.659,451.91239999999993,0.0,15.533399999999999,445.4864,58.6342,451.76700000000005,0.0,14.141756444,373.6911563,165.62155156199998,328.62379692,0.16454683280000001,2597.50515,14.141756444,373.6911563,165.62155156199998,328.62379692,0.16454683280000001,2597.50515,14.141756444,373.6911563,165.62155156199998,328.62379692,0.16454683280000001,2597.50515,14.141756444,373.6911563,165.62155156199998,328.62379692,0.16454683280000001,2597.50515,14.141756444,373.6911563,165.62155156199998,328.62379692,0.16454683280000001,2597.50515,0.0,0.0,0.0,542.3347168399999,166.13667279800003,512.77686734,25.3477949324,949.32458084,9.92164,533.17998,57.80914,211.31689999999998,0.0,9.97918,558.87592,30.21396,116.74984,0.0,30.9070785376,335.91836584000004,94.01138573,265.31274721600005,18.158072288,30.566551837600002,405.83143540000003,88.20799284999998,206.19680337600002,23.536224007999998,30.8171155736,408.18962116000006,88.85191361,208.928812296,23.947485800000003,434.48341250000004,138.857245696,313.74448564,19.320051388,986.4736308600001,15.5324,453.2872,138.2126,438.8454,0.0,617.3821435,15.533399999999999,453.3112,127.54499999999999,414.4208,0.0,506.77544549999993,13.952,431.94,196.53,476.48,0.02392,13.094000000000001,446.2,193.96999999999997,456.9200000000001,0.1232,12.654,434.97999999999996,131.41,314.12,0.06720000000000001,557.3267902999999,103.489556382,376.71870412,41.12062336260001,557.0506865799999,108.882055022,376.77129016000004,34.8306322866,9.90166,484.95152,189.82562000000001,0.0,443.78486254,189.869907832,384.59086504,0.0,1100.26300394,4.38453102,170.12612915999998,99.31916104000001,294.43956948000005,0.0,372.65054467999994,11.772412112000001,347.77886962,182.008214604,373.42307436,0.0055705164,368.13624,380.2964,0.0,408.63217191999996,198.73689646200003,402.35294653999995,0.005300454599999999,211.88862324000002,408.63217191999996,198.73689646200003,402.35294653999995,0.005300454599999999,211.88862324000002
2015,9.6975,552.6331,21.177,68.5414,0.0,,449.04040630000003,227.4884063,436.6549063,0.040585232,1016.310006,15.398,453.11199999999997,63.3785,501.07649999999995,0.0,15.398,453.0755,63.3475,500.89700000000005,0.0,15.15989453,372.6984063,196.3551875,364.5390938,0.205163961,2548.322,15.15989453,372.6984063,196.3551875,364.5390938,0.205163961,2548.322,15.15989453,372.6984063,196.3551875,364.5390938,0.205163961,2548.322,15.15989453,372.6984063,196.3551875,364.5390938,0.205163961,2548.322,15.15989453,372.6984063,196.3551875,364.5390938,0.205163961,2548.322,0.0,0.0,0.0,564.1684928999999,197.16347230000002,592.0413625,31.68243976,706.3241928,10.0983,541.44525,66.95735,246.00039999999996,0.0,10.16775,572.37825,34.0786,132.29585,0.0,36.204821633,332.49663465000003,112.81752112499998,308.42140823,22.69759036,35.779163258000004,419.8879716,105.56328002499998,234.52647843000003,29.42028001,36.092367928,422.83570380000003,106.368180975,237.94148957999997,29.934357250000005,437.41359375,163.55296922999997,343.09693204999996,24.150064235,1008.9352155500001,15.397000000000002,462.8265,162.8205,484.74649999999997,0.0,725.45431525,15.398,462.8565,149.486,454.29549999999995,0.0,587.2291427499999,14.525,439.35,235.82500000000002,550.5,0.0299,13.48,456.0,232.62499999999997,526.0500000000001,0.154,12.93,442.79999999999995,154.425,347.55000000000007,0.08400000000000002,580.4978186499999,118.534217735,421.0431301499999,51.382894335500005,580.152689,125.27484103500001,421.10886270000003,43.5204054905,10.0746,488.2573,207.638,0.0,449.04040630000003,227.3187969,431.6549063,0.0,1137.143225,5.480663775,212.65766144999998,124.14895130000002,368.04946185000006,0.0,406.68715405,12.16953278,341.18075560000005,217.5295258,420.8454285,0.006961838000000001,367.7,430.536,0.0,421.8285299,237.83283050000003,453.586284,0.00294444,232.0249392,421.8285299,237.83283050000003,453.586284,0.00294444,232.0249392
2016,9.85146,565.99612,27.01456,80.89591999999999,0.0,,470.71550004000005,258.51658050000003,473.7540102,0.0631564184,967.90821424,15.262599999999999,460.7084,68.098,550.2406,0.0,15.262599999999999,460.66459999999995,68.0608,550.027,0.0,16.302640624000002,386.5105563,216.3511875,404.18348754,0.2577233278,2496.45805,16.302452342000002,386.51051254,216.3511,404.18316254,0.2577218564,2496.4582,16.302452342000002,386.51051254,216.3511,404.18316254,0.2577218564,2496.4582,16.302452342000002,386.51051254,216.3511,404.18316254,0.2577218564,2496.4582,16.302452342000002,386.51051254,216.3511,404.18316254,0.2577218564,2496.4582,0.01056,0.01056,0.01056,592.5675602399999,254.16026986000003,746.0421087999999,42.958957992,679.24045236,10.27496,549.71052,76.10556000000001,280.6839,0.0,10.35632,585.88058,37.94324,147.84186,0.0,41.502564728399996,329.07490346000003,131.62365652,351.53006924400006,27.237108432,40.9917746784,433.94450780000005,122.91856719999998,262.85615348400006,35.30433601199999,41.367620282400004,437.48178644000006,123.88444833999998,266.95416686399994,35.9212287,440.343775,188.248692764,372.44937846,28.980077082,1031.3968002400002,15.261600000000001,472.36580000000004,187.4284,530.6476,0.0,833.5264870000001,15.262599999999999,472.4018,171.42699999999996,494.1702,0.0,667.6828399999999,15.098,446.76,275.12,624.5200000000001,0.03588,13.866,465.8,271.28,595.1800000000001,0.18480000000000002,13.206,450.62,177.44,380.98,0.10080000000000001,603.6688469999999,133.578879088,465.36755617999995,61.64516530840001,603.25469142,141.66762704799999,465.44643524,52.2101786944,10.23572,505.13198,227.7506,0.0,475.28045004,254.40503869999998,463.4447141,0.0,1150.1504684,6.576796529999999,255.18919373999995,148.97874156,441.65935422000007,0.0,440.72376341999995,12.874645618,354.53912352000003,259.74337162,494.20036624,0.0792954212,369.6556,476.82332,0.31382,437.13189167999997,280.83231574,498.13025812,0.0041962348,254.1151557,437.13189167999997,280.83231574,498.13025812,0.0041962348,254.1151557
2017,10.005419999999999,579.35914,32.85212,93.25044,0.0,,492.39059378,289.5447547,510.85311409999997,0.0857276048,919.50642248,15.127199999999998,468.3048,72.8175,599.4046999999999,0.0,15.127199999999998,468.2537,72.7741,599.157,0.0,17.445386718,400.3227063,236.34718750000002,443.82788128,0.3102826946,2444.5941000000003,17.445010154000002,400.32261877999997,236.3470125,443.82723128,0.3102797518,2444.5944,17.445010154000002,400.32261877999997,236.3470125,443.82723128,0.3102797518,2444.5944,17.445010154000002,400.32261877999997,236.3470125,443.82723128,0.3102797518,2444.5944,17.445010154000002,400.32261877999997,236.3470125,443.82723128,0.3102797518,2444.5944,0.02112,0.02112,0.02112,620.9666275799999,311.15706742,900.0428551,54.235476223999996,652.15671192,10.45162,557.9757900000001,85.25377,315.3674,0.0,10.54489,599.38291,41.80788,163.38787000000002,0.0,46.8003078238,325.65317227,150.42979191499998,394.638730258,31.776626504,46.2043860988,448.00104400000004,140.27385437499998,291.185828538,41.188392013999994,46.6428726368,452.12786908000004,141.40071570499998,295.96684414799995,41.90810015,443.27395625,212.944416298,401.80182487,33.810089929,1053.85838493,15.1262,481.9051,212.0363,576.5487,0.0,941.59865875,15.127199999999998,481.94710000000003,193.36799999999997,534.0449,0.0,748.13653725,15.671,454.16999999999996,314.415,698.5400000000001,0.04186,14.252,475.6,309.935,664.3100000000001,0.2156,13.482000000000001,458.44,200.455,414.4100000000001,0.11760000000000001,626.8398753499999,148.62354044100002,509.69198220999994,71.90743628130001,626.3566938399999,158.060413061,509.78400778,60.899951898299996,10.396840000000001,522.00666,247.8632,0.0,501.52049378000004,281.49128049999996,495.2345219,0.0,1163.1577118,7.6729292849999995,297.72072603,173.80853182,515.2692465900001,0.0,474.76037278999996,13.579758456,367.89749144,301.95721743999997,567.55530398,0.1516290044,371.6112,523.11064,0.62764,452.43525346,323.83180098,542.67423224,0.0054480296,276.2053722,452.43525346,323.83180098,542.67423224,0.0054480296,276.2053722
2018,10.15938,592.72216,38.68968,105.60495999999999,0.0,,514.06568752,320.5729289,547.952218,0.1082987912,871.1046307199999,14.991799999999998,475.9012,77.537,648.5688,0.0,14.991799999999998,475.84279999999995,77.48740000000001,648.287,0.0,18.588132812,414.1348563,256.3431875,483.47227502,0.36284206139999997,2392.73015,18.587567966,414.13472502,256.342925,483.47130002,0.36283764719999995,2392.7306,18.587567966,414.13472502,256.342925,483.47130002,0.36283764719999995,2392.7306,18.587567966,414.13472502,256.342925,483.47130002,0.36283764719999995,2392.7306,18.587567966,414.13472502,256.342925,483.47130002,0.36283764719999995,2392.7306,0.03168,0.03168,0.03168,649.3656949199999,368.15386498,1054.0436014,65.511994456,625.07297148,10.62828,566.2410600000001,94.40198000000001,350.05089999999996,0.0,10.73346,612.8852400000001,45.67252,178.93388000000002,0.0,52.0980509192,322.23144108,169.23592731,437.7473912720001,36.316144576,51.4169975192,462.0575802000001,157.62914154999999,319.5155035920001,47.072448015999996,51.9181249912,466.77395172,158.91698307,324.97952143199996,47.894971600000005,446.2041375,237.640139832,431.15427128,38.640102776,1076.3199696200002,14.9908,491.44440000000003,236.6442,622.4498,0.0,1049.6708305000002,14.991799999999998,491.49240000000003,215.30899999999997,573.9196,0.0,828.5902345,16.244,461.58,353.71000000000004,772.5600000000001,0.04784,14.638,485.4,348.59,733.44,0.2464,13.758000000000001,466.26,223.47,447.84000000000003,0.13440000000000002,650.0109037,163.668201794,554.0164082399999,82.1697072542,649.45869626,174.453199074,554.12158032,69.58972510219999,10.55796,538.88134,267.9758,0.0,527.7605375200001,308.57752229999994,527.0243297,0.0,1176.1649552,8.76906204,340.25225831999995,198.63832208000002,588.8791389600001,0.0,508.79698215999997,14.284871294,381.25585936000004,344.17106326,640.91024172,0.22396258759999998,373.5668,569.39796,0.94146,467.73861524,366.83128622000004,587.2182063600001,0.0066998244,298.2955887,467.73861524,366.83128622000004,587.2182063600001,0.0066998244,298.2955887
2019,10.31334,606.08518,44.527240000000006,117.95947999999999,0.0,,535.7407812600001,351.60110310000005,585.0513219,0.1308699776,822.70283896,14.856399999999999,483.4976,82.25649999999999,697.7329,0.0,14.856399999999999,483.4319,82.20070000000001,697.417,0.0,19.730878906,427.9470063,276.3391875,523.11666876,0.4154014282,2340.8662,19.730125778,427.94683126,276.33883749999995,523.11536876,0.41539554259999995,2340.8668,19.730125778,427.94683126,276.33883749999995,523.11536876,0.41539554259999995,2340.8668,19.730125778,427.94683126,276.33883749999995,523.11536876,0.41539554259999995,2340.8668,19.730125778,427.94683126,276.33883749999995,523.11536876,0.41539554259999995,2340.8668,0.04224,0.04224,0.04224,677.76476226,425.15066254,1208.0443477,76.788512688,597.98923104,10.80494,574.50633,103.55019000000001,384.73439999999994,0.0,10.92203,626.38757,49.53716,194.47989,0.0,57.3957940146,318.80970989,188.042062705,480.856052286,40.855662648,56.629608939600004,476.11411640000006,174.984428725,347.845178646,52.956504018,57.193377345600005,481.42003436000005,176.433250435,353.99219871599996,53.88184305000001,449.13431875000003,262.335863366,460.50671768999996,43.470115623,1098.78155431,14.855400000000001,500.9837,261.2521,668.3508999999999,0.0,1157.7430022500002,14.856399999999999,501.03770000000003,237.24999999999997,613.7943,0.0,909.04393175,16.817,468.99,393.00500000000005,846.58,0.05382,15.024000000000001,495.2,387.24499999999995,802.57,0.2772,14.034,474.08,246.48499999999999,481.2700000000001,0.15120000000000003,673.1819320499999,178.712863147,598.34083427,92.4319782271,672.5606986800001,190.845985087,598.45915286,78.2794983061,10.71908,555.75602,288.0884,0.0,554.00058126,335.6637641,558.8141375,0.0,1189.1721986,9.865194794999999,382.7837906099999,223.46811234000003,662.4890313300001,0.0,542.8335915299999,14.989984132,394.61422728,386.38490907999994,714.26517946,0.2962961708,375.5224,615.68528,1.25528,483.04197702000005,409.83077146000005,631.76218048,0.007951619200000001,320.3858052,483.04197702000005,409.83077146000005,631.76218048,0.007951619200000001,320.3858052
2020,10.4673,619.4482,50.3648,130.314,0.0,,557.415875,382.6292773,622.1504258,0.153441164,774.3010472,14.720999999999998,491.094,86.976,746.8969999999999,0.0,14.720999999999998,491.02099999999996,86.914,746.547,0.0,20.873625,441.75915630000003,296.3351875,562.7610625,0.467960795,2289.00225,20.87268359,441.7589375,296.33475,562.7594375,0.46795343799999994,2289.0029999999997,20.87268359,441.7589375,296.33475,562.7594375,0.46795343799999994,2289.0029999999997,20.87268359,441.7589375,296.33475,562.7594375,0.46795343799999994,2289.0029999999997,20.87268359,441.7589375,296.33475,562.7594375,0.46795343799999994,2289.0029999999997,0.0528,0.0528,0.0528,706.1638296,482.1474601,1362.0450939999998,88.06503092,570.9054906,10.9816,582.7716,112.6984,419.4179,0.0,11.1106,639.8899,53.4018,210.0259,0.0,62.69353711,315.3879787,206.8481981,523.9647133000001,45.39518072,61.84222036,490.17065260000004,192.3397159,376.1748537,58.84056002,62.4686297,496.066117,193.9495178,383.00487599999997,59.8687145,452.0645,287.0315869,489.8591641,48.30012847,1121.2431390000002,14.72,510.523,285.86,714.252,0.0,1265.815174,14.720999999999998,510.583,259.191,653.669,0.0,989.497629,17.39,476.4,432.3,920.6,0.0598,15.41,505.0,425.9,871.7,0.308,14.31,481.9,269.5,514.7,0.168,696.3529603999999,193.75752450000002,642.6652602999999,102.6942492,695.6627011,207.23877109999998,642.7967254,86.96927151,10.8802,572.6307,308.20099999999996,0.0,580.240625,362.75000589999996,590.6039453,0.0,1202.1794419999999,10.96132755,425.31532289999996,248.29790260000001,736.0989237000001,0.0,576.8702009,15.69509697,407.9725952,428.59875489999996,787.6201172,0.368629754,377.478,661.9726,1.5691,498.34533880000004,452.8302567,676.3061546,0.009203414,342.4760217,498.34533880000004,452.8302567,676.3061546,0.009203414,342.4760217
2021,10.66548,651.1654000000001,96.4572,223.28465999999997,0.15106,,610.7115625,427.08055426,647.1494219,0.7555865225999999,788.6381477799999,21.163399999999996,513.1084,195.8222,906.2478,6.310333333,15.853599999999998,496.82439999999997,94.678,808.2805000000001,2.2946,22.360119922,501.35032504000003,341.12321876,706.469125,0.7822596556,2300.16615,22.089790232000002,478.6451,330.39365626,667.289825,0.6253042564,2317.2956499999996,21.975483982,471.70345,327.28519375999997,652.960975,0.5525887665999999,2299.49705,21.975482810000003,471.7036375,327.28401876,652.94775,0.5525840446,2299.5042,21.975482810000003,471.7036375,327.28401876,652.94775,0.5525840446,2299.5042,15.16264,0.42266,0.42266,765.67069128,602.15905248,1481.8483807999999,142.213086036,614.4553964,11.20847,612.47987,287.82455,745.78896,0.56526,11.33958,671.17863,210.38087000000002,523.89725,11.023489999999999,74.307062569,312.67944900000003,255.66778259,628.7397667700001,88.230612148,68.386272404,561.77656214,223.13880390999998,443.48159973,137.811201558,69.71974441,593.4939235,233.2598433,470.9239103,231.29999395000002,452.10378125,298.8058493,493.59650394,143.627513923,1172.3617414,15.1432,517.0197000000001,395.0027,820.2561,52.75343333000001,1371.4439451,16.868199999999998,535.8015,357.1876,806.5806,6.741533333,1063.6428094,19.266000000000002,491.5,644.17,1100.94,42.45382,17.573,532.86,688.91,1066.03,100.27720000000001,16.205,516.77,285.19,589.4300000000001,59.151199999999996,741.6560258599999,927.25967315,716.4756385699999,216.32375918,755.6411689900001,938.34596499,716.66734176,199.852724859,11.12154,597.8700600000001,477.7017599999999,0.0,636.2987625000001,403.16369534,612.43420156,0.042328355,1227.2897206,14.641208742,461.55147859999994,354.24437384000004,852.9728844300001,15.332677369999999,662.63125611,17.73861847,433.08621824,524.2839477599999,911.51577156,0.6833166364000001,385.999,749.90588,17.110059999999997,538.52527294,502.38332028,724.33006142,34.029111111199995,381.45347444,543.8682240200001,539.74840096,731.91367,34.029162451199994,382.47305023999996
