2083,-8810.92938,-4353.901,-8114.60814,-6892.85992,-1563.0543400000001,-6594.95442,-5615.92354,-13148.14,-7625.374000000001,-6709.776,-3219.99,-3230.286,-9783.8399624,-19781.312016,-13969.34839,-9862.972575599999,-9935.0015403,-8833.2143967,-10328.4107,-9469.690797,-7834.8661056,-5830.8040086,-10493.299165,-11146.673023,-1513.18548342,-8329.4560675,-18356.64,-12919.742631,-10107.6630182,-12996.023321,-13023.682273999999,-8263.1910071,-8177.5713633,-5068.0818874999995,-6661.1438815,-12647.274383,-11149.4691,-14840.722518999999,-2714.2181525,-13653.664826,-7303.621675,-15282.641148,-13401.73859,-8615.373925,-14511.691894,-10111.6841791,-10949.252149,-5085.264208799999,-9460.2233402,-5142.591357300001,-5256.5706054,-2232.2871336,1596.16452036,-5052.6277832,1778.1898074,-13912.911525,-10773.603909,-13783.066309999998,-14880.973243999999,-12844.155,-16320.74337,-12916.439,-10745.75,-15888.618,-7137.2069,-11804.0,-13520.0,-18416.0,-13458.197909999999,-14222.075480000001,-13877.52185,-11387.300019999999,-18754.50782,-14067.891609999999,-17492.270060000003,-17020.22647,-6012.6112,-13123.75136,-6389.136210000001,-7269.3424,-12498.30163,-9381.977060000001,-238.88799999999998,-6244.87889,-3835.3597800000002,-7829.0967418,-7879.6616824,-11862.485922,-3077.4970839,-12109.140328000001
2084,-8941.57724,-4359.1284,-8156.41662,-6886.04946,-1421.5111200000001,-6767.035260000001,-5801.57822,-13287.32,-7538.6320000000005,-6517.2080000000005,-3183.96,-3193.1580000000004,-10238.1234192,-20315.759738,-14570.95283,-9810.697510799999,-9910.7513204,-8657.7662766,-10299.97604,-9461.418865,-7750.4297368,-5817.9380458,-10444.236640000001,-11170.633204,-1319.5668775600002,-8649.206275,-19598.120000000003,-13046.415547999999,-10548.8672656,-13102.105618,-13128.283312,-8530.9540118,-8444.9859914,-5155.366338,-6873.0145760000005,-12885.649564,-11329.67074,-15080.833521999999,-2798.222725,-14148.049788,-7695.285275,-15566.390904,-13668.72064,-8947.2454,-15040.629882000001,-10241.2146478,-11064.788671999999,-5058.5296874,-9534.6382816,-5278.5609374000005,-5385.7166992,-2390.4284178,1510.7854004800001,-5196.6316406,1697.4853762000002,-13991.470899999998,-10912.402542,-13870.34004,-14894.262502,-12830.56,-16232.56426,-12906.312,-10799.33,-16104.824,-7154.5112,-11942.0,-13480.0,-18578.0,-13564.62588,-14358.135740000002,-14043.2924,-11555.80526,-18722.09246,-14151.846179999999,-17510.09458,-17058.88346,-6030.3738,-13197.12368,-6509.71248,-7361.475100000001,-12621.96024,-9359.13688,-391.5541,-6499.16062,-3902.72444,-8031.5976634,-8090.9934182,-12280.484575999999,-3466.7287681999996,-12482.555894000001
2085,-9072.2251,-4364.355799999999,-8198.2251,-6879.2390000000005,-1279.9679,-6939.1161,-5987.2329,-13426.5,-7451.89,-6324.64,-3147.93,-3156.03,-10692.406876000001,-20850.207459999998,-15172.557270000001,-9758.422445999999,-9886.501100500001,-8482.3181565,-10271.541379999999,-9453.146933,-7665.9933679999995,-5805.072082999999,-10395.174115000002,-11194.593385,-1125.9482717,-8968.9564825,-20839.6,-13173.088465,-10990.071512999999,-13208.187914999999,-13232.88435,-8798.7170165,-8712.4006195,-5242.650788499999,-7084.885270500001,-13124.024744999999,-11509.87238,-15320.944524999999,-2882.2272975,-14642.43475,-8086.948875,-15850.14066,-13935.70269,-9279.116875,-15569.567869999999,-10370.7451165,-11180.325195,-5031.795166,-9609.053222999999,-5414.5305175,-5514.862793,-2548.569702,1425.4062806000002,-5340.635498,1616.780945,-14070.030275,-11051.201175,-13957.61377,-14907.551759999998,-12816.965,-16144.38515,-12896.185,-10852.91,-16321.03,-7171.8155,-12080.0,-13440.0,-18740.0,-13671.05385,-14494.196,-14209.06295,-11724.3105,-18689.6771,-14235.800749999999,-17527.9191,-17097.54045,-6048.1364,-13270.496,-6630.28875,-7453.6078,-12745.618849999999,-9336.296699999999,-544.2202,-6753.442349999999,-3970.0891,-8234.098585,-8302.325154,-12698.48323,-3855.9604524999995,-12855.97146
2086,-9250.65136,-4369.5832,-8240.03358,-6858.03732,-1224.20912,-7117.06872,-6178.66402,-13508.16,-7333.102,-6135.234,-3112.7059999999997,-3120.148,-11146.6903328,-21384.655182,-15774.16171,-9753.6718926,-9862.2508806,-8306.8700364,-10243.10672,-9444.875001,-7581.5569992,-5792.2061201999995,-10346.11159,-11218.553566,-932.32966584,-9288.706689999999,-22081.08,-13299.761382,-11431.2757604,-13314.270212,-13337.485388,-9066.480021200001,-8979.8152476,-5329.9352389999995,-7296.755965,-13362.399926,-11690.07402,-15561.055528,-2966.23187,-14785.915762,-8403.02235,-16266.274409999998,-14259.179828,-9632.63155,-16098.505858,-10500.275585200001,-11295.861718,-5005.0606446,-9683.4681644,-5550.5000976,-5644.0088868,-2706.7109862,1340.02716072,-5484.6393554,1536.0765138000002,-14148.58965,-11189.999808,-14044.887499999999,-14920.841018,-12803.37,-16056.206040000001,-12886.057999999999,-10906.49,-16537.236,-7189.1197999999995,-12218.0,-13400.0,-18902.0,-13777.481819999999,-14630.25626,-14374.833499999999,-11892.81574,-18657.261739999998,-14319.75532,-17545.74362,-17136.19744,-6065.899,-13343.86832,-6750.86502,-7545.7405,-12869.27746,-9313.45652,-696.8862999999999,-7007.72408,-4037.4537600000003,-8436.5995066,-8513.6568898,-13071.972622,-4245.1921368,-13229.387026
2087,-9429.07762,-4374.8106,-8281.84206,-6836.83564,-1168.45034,-7295.02134,-6370.09514,-13589.82,-7214.314,-5945.828,-3077.482,-3084.266,-11600.9737896,-21919.102904,-16375.76615,-9748.9213392,-9838.0006607,-8131.4219163,-10214.67206,-9436.603069,-7497.1206304,-5779.3401574,-10297.049065000001,-11242.513747,-738.7110599800001,-9608.4568975,-23322.56,-13426.434299,-11872.4800078,-13420.352509,-13442.086426,-9334.2430259,-9247.229875699999,-5417.2196895,-7508.626659500001,-13600.775107,-11870.27566,-15801.166531,-3050.2364425,-14929.396774,-8719.095825,-16682.40816,-14582.656966,-9986.146225,-16627.443846000002,-10629.8060539,-11411.398240999999,-4978.3261232,-9757.8831058,-5686.4696777,-5773.154980599999,-2864.8522704,1254.64804084,-5628.6432128,1455.3720826,-14227.149024999999,-11328.798441,-14132.161229999998,-14934.130276,-12789.775,-15968.02693,-12875.930999999999,-10960.07,-16753.442000000003,-7206.424099999999,-12356.0,-13360.0,-19064.0,-13883.90979,-14766.31652,-14540.60405,-12061.32098,-18624.84638,-14403.70989,-17563.568140000003,-17174.85443,-6083.6616,-13417.24064,-6871.441290000001,-7637.8732,-12992.93607,-9290.61634,-849.5524,-7262.00581,-4104.8184200000005,-8639.100428200001,-8724.9886256,-13445.462014,-4634.4238211,-13602.802592
2088,-9607.50388,-4380.038,-8323.65054,-6815.63396,-1112.69156,-7472.97396,-6561.526260000001,-13671.48,-7095.526,-5756.4220000000005,-3042.258,-3048.384,-12055.2572464,-22453.550625999997,-16977.37059,-9744.170785799999,-9813.7504408,-7955.9737962,-10186.2374,-9428.331137,-7412.684261599999,-5766.4741945999995,-10247.986540000002,-11266.473928,-545.09245412,-9928.207105,-24564.04,-13553.107216,-12313.6842552,-13526.434806,-13546.687464,-9602.0060306,-9514.644503799998,-5504.50414,-7720.497354000001,-13839.150287999999,-12050.477299999999,-16041.277534,-3134.241015,-15072.877786,-9035.1693,-17098.54191,-14906.134104,-10339.660899999999,-17156.381834,-10759.3365226,-11526.934764,-4951.5916018,-9832.2980472,-5822.439257800001,-5902.301074399999,-3022.9935546,1169.26892096,-5772.6470702,1374.6676514,-14305.7084,-11467.597074,-14219.434959999999,-14947.419534,-12776.18,-15879.84782,-12865.804,-11013.65,-16969.648,-7223.7284,-12494.0,-13320.0,-19226.0,-13990.33776,-14902.37678,-14706.3746,-12229.826219999999,-18592.43102,-14487.66446,-17581.39266,-17213.511420000003,-6101.4242,-13490.61296,-6992.01756,-7730.0059,-13116.59468,-9267.77616,-1002.2185,-7516.287539999999,-4172.18308,-8841.601349800001,-8936.3203614,-13818.951406,-5023.6555054,-13976.218158
2089,-9785.93014,-4385.2654,-8365.45902,-6794.43228,-1056.93278,-7650.92658,-6752.95738,-13753.14,-6976.738,-5567.016,-3007.034,-3012.502,-12509.5407032,-22987.998347999997,-17578.97503,-9739.4202324,-9789.500220900001,-7780.5256761,-10157.80274,-9420.059205,-7328.2478928,-5753.608231799999,-10198.924015,-11290.434109,-351.47384825999984,-10247.957312499999,-25805.52,-13679.780133,-12754.888502599999,-13632.517102999998,-13651.288502,-9869.7690353,-9782.0591319,-5591.788590499999,-7932.3680485,-14077.525469,-12230.67894,-16281.388537,-3218.2455875,-15216.358798,-9351.242775,-17514.675659999997,-15229.611242,-10693.175575,-17685.319821999998,-10888.8669913,-11642.471286999998,-4924.8570804,-9906.7129886,-5958.4088379,-6031.447168199999,-3181.1348388,1083.88980108,-5916.6509276,1293.9632202,-14384.267774999998,-11606.395707,-14306.70869,-14960.708792,-12762.585,-15791.66871,-12855.677,-11067.23,-17185.854,-7241.0327,-12632.0,-13280.0,-19388.0,-14096.76573,-15038.43704,-14872.14515,-12398.33146,-18560.015659999997,-14571.61903,-17599.21718,-17252.168410000002,-6119.1868,-13563.985279999999,-7112.59383,-7822.1386,-13240.253289999999,-9244.935979999998,-1154.8845999999999,-7770.56927,-4239.54774,-9044.102271400001,-9147.6520972,-14192.440798000001,-5412.8871897,-14349.633724000001
2090,-9964.3564,-4390.4928,-8407.2675,-6773.2306,-1001.174,-7828.8792,-6944.3885,-13834.8,-6857.95,-5377.61,-2971.81,-2976.62,-12963.82416,-23522.446069999998,-18180.57947,-9734.669679,-9765.250001,-7605.077556,-10129.36808,-9411.787273,-7243.811524,-5740.742268999999,-10149.861490000001,-11314.39429,-157.8552424,-10567.70752,-27047.0,-13806.45305,-13196.09275,-13738.5994,-13755.88954,-10137.53204,-10049.473759999999,-5679.073041,-8144.238743000001,-14315.90065,-12410.88058,-16521.49954,-3302.25016,-15359.83981,-9667.31625,-17930.809409999998,-15553.088380000001,-11046.69025,-18214.25781,-11018.39746,-11758.00781,-4898.122559,-9981.12793,-6094.378418,-6160.593261999999,-3339.276123,998.5106812000001,-6060.654785,1213.258789,-14462.82715,-11745.19434,-14393.982419999998,-14973.99805,-12748.99,-15703.4896,-12845.55,-11120.81,-17402.06,-7258.3369999999995,-12770.0,-13240.0,-19550.0,-14203.1937,-15174.4973,-15037.9157,-12566.8367,-18527.6003,-14655.5736,-17617.0417,-17290.8254,-6136.9494,-13637.3576,-7233.1701,-7914.2713,-13363.9119,-9222.0958,-1307.5507,-8024.851,-4306.9124,-9246.603193,-9358.983833,-14565.930190000001,-5802.118874,-14723.04929
2091,-9626.84698,-4398.93093,-8465.226709999999,-6787.86066,-932.2042,-8025.97368,-7149.78914,-13855.66,-6711.124,-5195.726,-2937.778,-2942.196,-13434.858406,-24338.571351,-19002.032258,-9669.8966158,-9830.6926609,-7820.523942700001,-10237.112042,-9530.7804537,-7262.1232387,-5647.958011999999,-10437.672086,-11386.343492,9.62769394,-10944.979232,-28608.68,-13852.042033,-13265.836054,-13786.193573999999,-13799.48079,-10261.697838,-10174.560109999999,-5668.1838768,-8244.882498500001,-14433.018729,-12474.681509999999,-16642.039242,-3324.4737794000002,-15411.582285999999,-9837.5607,-18024.945254,-15696.940830000001,-11230.335226,-18560.062302,-11143.075194000001,-11865.695896,-5424.0781741,-10122.782422,-6265.6028321,-6344.308984599999,-3422.1985107,892.0402725650001,-6228.1464354,1134.74518732,-14496.627344999999,-11863.338187,-14434.279588,-14977.139065,-12811.482,-15683.574,-12902.136999999999,-11142.622,-17544.966,-7278.316699999999,-12830.0,-13334.0,-19726.0,-14320.76633,-15265.24206,-15125.422849999999,-12692.87798,-18539.113899999997,-14759.4489,-17645.844930000003,-17309.37739,-6100.279130000001,-13710.13889,-7311.19459,-8038.29565,-13438.51277,-9186.0003,-1386.0623,-8178.566919999999,-4330.99376,-9286.7772179,-9503.2478217,-14843.397224,-6051.7212633,-14673.041502
2092,-9289.33756,-4407.36906,-8523.18592,-6802.49072,-863.2344,-8223.06816,-7355.18978,-13876.52,-6564.298,-5013.842,-2903.746,-2907.772,-13905.892652,-25154.696632,-19823.485046,-9605.1235526,-9896.1353208,-8035.9703294,-10344.856004,-9649.7736344,-7280.434953399999,-5555.173755,-10725.482682000002,-11458.292694,177.11063028,-11322.250944,-30170.36,-13897.631016000001,-13335.579357999999,-13833.787747999999,-13843.072040000001,-10385.863636,-10299.64646,-5657.2947126,-8345.526254,-14550.136808,-12538.48244,-16762.578944,-3346.6973988,-15463.324762,-10007.80515,-18119.081098,-15840.793280000002,-11413.980201999999,-18905.866793999998,-11267.752928,-11973.383982,-5950.033789200001,-10264.436914,-6436.8272462,-6528.024707199999,-3505.1208984,785.5698639300001,-6395.6380858,1056.23158564,-14530.427539999999,-11981.482034,-14474.576755999999,-14980.28008,-12873.974,-15663.6584,-12958.724,-11164.434,-17687.872,-7298.296399999999,-12890.0,-13428.0,-19902.0,-14438.33896,-15355.98682,-15212.93,-12818.91926,-18550.6275,-14863.3242,-17674.64816,-17327.92938,-6063.60886,-13782.92018,-7389.21908,-8162.320000000001,-13513.11364,-9149.904799999998,-1464.5739,-8332.28284,-4355.07512,-9326.9512428,-9647.5118104,-15120.864258,-6301.3236526,-14623.033714000001
2093,-8951.828140000001,-4415.8071899999995,-8581.14513,-6817.12078,-794.2646,-8420.16264,-7560.59042,-13897.38,-6417.472,-4831.958,-2869.714,-2873.348,-14376.926898,-25970.821913,-20644.937834,-9540.3504894,-9961.5779807,-8251.4167161,-10452.599966,-9768.7668151,-7298.7466681,-5462.389498,-11013.293278000001,-11530.241896,344.59356662,-11699.522656000001,-31732.04,-13943.219999,-13405.322662,-13881.381922,-13886.66329,-10510.029434,-10424.73281,-5646.4055484,-8446.170009500001,-14667.254887,-12602.28337,-16883.118646000003,-3368.9210182,-15515.067238,-10178.0496,-18213.216942,-15984.64573,-11597.625178,-19251.671286,-11392.430662,-12081.072068,-6475.9894043,-10406.091406000001,-6608.051660300001,-6711.740429799999,-3588.0432861,679.0994552950001,-6563.1297362,977.71798396,-14564.227735,-12099.625881,-14514.873924,-14983.421095,-12936.466,-15643.7428,-13015.311,-11186.246,-17830.778000000002,-7318.2761,-12950.0,-13522.0,-20078.0,-14555.91159,-15446.731580000001,-15300.43715,-12944.96054,-18562.1411,-14967.1995,-17703.451390000002,-17346.48137,-6026.93859,-13855.70147,-7467.243570000001,-8286.344350000001,-13587.71451,-9113.809299999999,-1543.0855000000001,-8485.99876,-4379.15648,-9367.125267700001,-9791.7757991,-15398.331292,-6550.9260419,-14573.025926
2094,-8614.318720000001,-4424.24532,-8639.10434,-6831.75084,-725.2948,-8617.25712,-7765.99106,-13918.24,-6270.646,-4650.074,-2835.6820000000002,-2838.924,-14847.961144,-26786.947194,-21466.390622,-9475.5774262,-10027.0206406,-8466.8631028,-10560.343928,-9887.7599958,-7317.0583828,-5369.605241,-11301.103874,-11602.191098,512.07650296,-12076.794368,-33293.72,-13988.808982,-13475.065966,-13928.976096,-13930.25454,-10634.195232,-10549.81916,-5635.5163842,-8546.813765,-14784.372965999999,-12666.084299999999,-17003.658348,-3391.1446376,-15566.809714,-10348.29405,-18307.352786,-16128.49818,-11781.270154,-19597.475778,-11517.108396,-12188.760154,-7001.9450194,-10547.745898000001,-6779.276074400001,-6895.456152399999,-3670.9656738,572.6290466600001,-6730.6213866,899.20438228,-14598.02793,-12217.769728,-14555.171091999999,-14986.56211,-12998.958,-15623.8272,-13071.898,-11208.057999999999,-17973.684,-7338.2558,-13010.0,-13616.0,-20254.0,-14673.48422,-15537.476340000001,-15387.9443,-13071.00182,-18573.6547,-15071.0748,-17732.25462,-17365.03336,-5990.26832,-13928.482759999999,-7545.26806,-8410.3687,-13662.31538,-9077.7138,-1621.5971,-8639.714680000001,-4403.23784,-9407.2992926,-9936.0397878,-15675.798326,-6800.528431199999,-14523.018138000001
2095,-8276.8093,-4432.68345,-8697.063549999999,-6846.3809,-656.325,-8814.3516,-7971.3917,-13939.1,-6123.82,-4468.19,-2801.65,-2804.5,-15318.99539,-27603.072475,-22287.84341,-9410.804363,-10092.4633005,-8682.3094895,-10668.087889999999,-10006.753176499999,-7335.370097499999,-5276.820984,-11588.91447,-11674.1403,679.5594393000001,-12454.06608,-34855.4,-14034.397965,-13544.80927,-13976.57027,-13973.84579,-10758.36103,-10674.90551,-5624.62722,-8647.4575205,-14901.491044999999,-12729.88523,-17124.19805,-3413.368257,-15618.55219,-10518.5385,-18401.48863,-16272.35063,-11964.91513,-19943.28027,-11641.78613,-12296.44824,-7527.9006345,-10689.40039,-6950.5004885,-7079.171875,-3753.8880615,466.1586380250001,-6898.113037,820.6907806,-14631.828125,-12335.913574999999,-14595.46826,-14989.703125,-13061.45,-15603.9116,-13128.485,-11229.869999999999,-18116.59,-7358.2355,-13070.0,-13710.0,-20430.0,-14791.05685,-15628.2211,-15475.45145,-13197.043099999999,-18585.168299999998,-15174.9501,-17761.05785,-17383.58535,-5953.5980500000005,-14001.26405,-7623.29255,-8534.39305,-13736.916249999998,-9041.618299999998,-1700.1087000000002,-8793.4306,-4427.3192,-9447.4733175,-10080.3037765,-15953.26536,-7050.1308205,-14473.01035
2096,-8343.7239,-4441.12158,-8755.02276,-6840.85764,-594.4991600000001,-8859.63676,-8001.52432,-13922.26,-5951.762,-4296.974,-2769.0460000000003,-2771.664,-15790.029636,-28419.197756,-23109.296198,-9491.9168304,-10157.905960400001,-8897.7558762,-10775.831852,-10125.7463572,-7353.6818121999995,-5184.036727000001,-11876.725066,-11746.089502,847.04237564,-12831.337792,-36417.08,-14079.986948000002,-13614.552574,-14024.164444,-14017.43704,-10882.526828,-10799.99186,-5613.7380557999995,-8748.101276000001,-15018.609124,-12793.68616,-17244.737752,-3435.5918764000003,-15694.225528,-10795.112776,-18381.806566,-16131.715842000001,-12242.77903,-20289.084762,-11766.463864000001,-12404.136326,-8053.8562495999995,-10831.054882,-7121.724902600001,-7262.8875976,-3836.8104492,359.68822939000006,-7065.6046874,742.17717892,-14665.62832,-12454.057422,-14635.765428,-14992.84414,-13123.942,-15583.996000000001,-13185.072,-11251.682,-18259.496,-7378.2152,-13130.0,-13804.0,-20606.0,-14908.62948,-15718.96586,-15562.9586,-13323.08438,-18596.6819,-15278.8254,-17789.861080000002,-17402.13734,-5916.92778,-14074.04534,-7701.31704,-8658.4174,-13811.517119999999,-9005.522799999999,-1778.6203,-8947.14652,-4451.40056,-9487.6473424,-10224.5677652,-16203.96759,-7299.7332098,-14423.002562
2097,-8410.638500000001,-4449.5597099999995,-8812.98197,-6835.33438,-532.67332,-8904.92192,-8031.65694,-13905.42,-5779.704,-4125.758,-2736.442,-2738.828,-16261.063882,-29235.323037,-23930.748986,-9573.0292978,-10223.348620300001,-9113.2022629,-10883.575814,-10244.739537899999,-7371.9935269,-5091.25247,-12164.535662,-11818.038704,1014.5253119800002,-13208.609504,-37978.76,-14125.575931000001,-13684.295877999999,-14071.758618,-14061.02829,-11006.692626,-10925.07821,-5602.8488916,-8848.7450315,-15135.727203,-12857.487089999999,-17365.277454000003,-3457.8154958,-15769.898866000001,-11071.687052,-18362.124502,-15991.081054,-12520.64293,-20634.889253999998,-11891.141598,-12511.824412,-8579.811864700001,-10972.709374,-7292.9493167,-7446.6033202,-3919.7328369,253.21782075500005,-7233.096337800001,663.66357724,-14699.428515,-12572.201269,-14676.062596,-14995.985155,-13186.434,-15564.0804,-13241.659,-11273.494,-18402.402,-7398.1948999999995,-13190.0,-13898.0,-20782.0,-15026.20211,-15809.71062,-15650.46575,-13449.12566,-18608.1955,-15382.7007,-17818.66431,-17420.68933,-5880.2575099999995,-14146.82663,-7779.34153,-8782.44175,-13886.117989999999,-8969.4273,-1857.1319,-9100.86244,-4475.48192,-9527.8213673,-10368.8317539,-16454.66982,-7549.3355991,-14372.994774
2098,-8477.5531,-4457.99784,-8870.94118,-6829.81112,-470.84748,-8950.20708,-8061.78956,-13888.58,-5607.646,-3954.542,-2703.838,-2705.992,-16732.098128,-30051.448318,-24752.201774,-9654.1417652,-10288.791280200001,-9328.6486496,-10991.319776,-10363.732718599998,-7390.3052416,-4998.468213,-12452.346258000001,-11889.987906,1182.0082483200001,-13585.881216000002,-39540.44,-14171.164914,-13754.039182,-14119.352792000002,-14104.61954,-11130.858424,-11050.16456,-5591.9597274,-8949.388787,-15252.845282,-12921.288019999998,-17485.817156,-3480.0391152,-15845.572204,-11348.261328,-18342.442438000002,-15850.446266,-12798.506829999998,-20980.693746,-12015.819332000001,-12619.512498,-9105.7674798,-11114.363866000002,-7464.1737308,-7630.3190428,-4002.6552246,146.74741212000004,-7400.587988200001,585.14997556,-14733.228710000001,-12690.345115999999,-14716.359764,-14999.12617,-13248.926,-15544.1648,-13298.246,-11295.306,-18545.308,-7418.1746,-13250.0,-13992.0,-20958.0,-15143.77474,-15900.455380000001,-15737.972899999999,-13575.16694,-18619.7091,-15486.576000000001,-17847.46754,-17439.24132,-5843.58724,-14219.60792,-7857.36602,-8906.466100000001,-13960.718859999999,-8933.3318,-1935.6435000000001,-9254.57836,-4499.563279999999,-9567.9953922,-10513.0957426,-16705.372049999998,-7798.937988399999,-14322.986986
2099,-8544.4677,-4466.43597,-8928.900389999999,-6824.28786,-409.02164000000005,-8995.492240000001,-8091.92218,-13871.74,-5435.588,-3783.326,-2671.234,-2673.156,-17203.132374,-30867.573599,-25573.654562,-9735.2542326,-10354.2339401,-9544.095036300001,-11099.063737999999,-10482.7258993,-7408.616956299999,-4905.683956000001,-12740.156854,-11961.937108,1349.49118466,-13963.152928000001,-41102.12,-14216.753897000002,-13823.782486,-14166.946966000001,-14148.210790000001,-11255.024222,-11175.25091,-5581.0705632,-9050.032542500001,-15369.963361,-12985.08895,-17606.356858,-3502.2627346,-15921.245542,-11624.835604,-18322.760374,-15709.811478,-13076.370729999999,-21326.498238,-12140.497066,-12727.200584,-9631.7230949,-11256.018358000001,-7635.3981449,-7814.0347654,-4085.5776123,40.27700348500002,-7568.0796386,506.63637388000006,-14767.028905000001,-12808.488963,-14756.656932,-15002.267185,-13311.418,-15524.2492,-13354.833,-11317.118,-18688.214,-7438.1543,-13310.0,-14086.0,-21134.0,-15261.34737,-15991.20014,-15825.48005,-13701.20822,-18631.2227,-15590.4513,-17876.27077,-17457.79331,-5806.91697,-14292.38921,-7935.39051,-9030.490450000001,-14035.31973,-8897.236299999999,-2014.1551000000002,-9408.29428,-4523.6446399999995,-9608.1694171,-10657.3597313,-16956.07428,-8048.540377699999,-14272.979198
2100,-8611.3823,-4474.8741,-8986.8596,-6818.7646,-347.1958,-9040.7774,-8122.0548,-13854.9,-5263.53,-3612.11,-2638.63,-2640.32,-17674.16662,-31683.69888,-26395.10735,-9816.3667,-10419.6766,-9759.541423,-11206.8077,-10601.719079999999,-7426.928671,-4812.8996990000005,-13027.96745,-12033.88631,1516.9741210000002,-14340.424640000001,-42663.8,-14262.342880000002,-13893.52579,-14214.541140000001,-14191.80204,-11379.19002,-11300.33726,-5570.181399,-9150.676298,-15487.08144,-13048.889879999999,-17726.89656,-3524.486354,-15996.918880000001,-11901.40988,-18303.07831,-15569.17669,-13354.234629999999,-21672.30273,-12265.1748,-12834.88867,-10157.67871,-11397.67285,-7806.622559,-7997.750488,-4168.5,-66.19340515,-7735.571289,428.1227722,-14800.8291,-12926.63281,-14796.9541,-15005.4082,-13373.91,-15504.3336,-13411.42,-11338.93,-18831.12,-7458.134,-13370.0,-14180.0,-21310.0,-15378.92,-16081.9449,-15912.9872,-13827.2495,-18642.7363,-15694.3266,-17905.074,-17476.3453,-5770.2467,-14365.1705,-8013.415,-9154.5148,-14109.9206,-8861.1408,-2092.6667,-9562.0102,-4547.726,-9648.343442,-10801.62372,-17206.77651,-8298.142767,-14222.97141
